timestamp,frame,event_type,track_id,violation_type,class,direction
2025-10-04T16:08:20.428705,12,violation,6,wrong_way,car,left
2025-10-04T16:08:21.731671,13,violation,6,wrong_way,car,left
2025-10-04T16:08:23.044995,14,violation,6,wrong_way,car,left
2025-10-04T16:08:24.803761,15,violation,6,wrong_way,car,left
2025-10-04T16:08:26.491402,16,violation,6,wrong_way,car,left
2025-10-04T16:08:26.495400,16,violation,15,wrong_way,car,left
2025-10-04T16:08:27.834487,17,violation,6,wrong_way,car,left
2025-10-04T16:08:27.839549,17,violation,15,wrong_way,car,left
2025-10-04T16:08:29.269102,18,violation,6,wrong_way,car,left
2025-10-04T16:08:29.271114,18,violation,15,wrong_way,car,left
2025-10-04T16:08:30.574816,19,violation,6,wrong_way,car,left
2025-10-04T16:08:30.578910,19,violation,15,wrong_way,car,left
2025-10-04T16:08:31.998314,20,violation,6,wrong_way,car,left
2025-10-04T16:08:32.004368,20,violation,15,wrong_way,car,left
2025-10-04T16:08:33.959734,21,violation,6,wrong_way,car,left
2025-10-04T16:08:33.963757,21,violation,15,wrong_way,car,left
2025-10-04T16:08:35.874266,22,violation,6,wrong_way,car,left
2025-10-04T16:08:35.878321,22,violation,15,wrong_way,car,left
2025-10-04T16:08:37.514444,23,violation,6,wrong_way,car,left
2025-10-04T16:08:37.518459,23,violation,15,wrong_way,car,left
2025-10-04T16:08:38.849559,24,violation,6,wrong_way,car,left
2025-10-04T16:08:38.857140,24,violation,15,wrong_way,car,left
2025-10-04T16:08:40.539341,25,violation,6,wrong_way,car,left
2025-10-04T16:08:41.936838,26,violation,6,wrong_way,car,left
2025-10-04T16:08:43.500487,27,violation,6,wrong_way,car,left
2025-10-04T16:08:44.804970,28,violation,6,wrong_way,car,left
